x_m,y_m,psi_rad,vx_mps,vy_mps,r_radps
2.2063194209657118,8.444665436129142,1.9503073,2.7668902,0,1.3151734677601001
2.3031177914017094,8.469752266487626,1.998712,2.7366509,0,1.34346325023859
2.3982307405949532,8.499444375362604,2.0482836,2.7067197,0,1.36470966704604
2.492252941845226,8.534081005213864,2.0994277,2.6766238,0,1.38167936179474
2.5837316535099437,8.573245067585678,2.1513865,2.6462661,0,1.3982581629395099
2.6736280297378348,8.617485695569732,2.2051297,2.6164903,0,1.42344503152452
2.760604725138544,8.666334277560432,2.2602386,2.588538,0,1.4604156057989999
2.84476324462148,8.72004955018713,2.3179759,2.5646742,0,1.5178785737999398
2.9256180497192577,8.778667070681008,2.3788729,2.5485663,0,1.6071692344071
3.0025654345390596,8.84220071149596,2.443743,2.5404299,0,1.6929704300889
3.075171173409954,8.910714380117495,2.5108451,2.5341117,0,1.71562783140795
3.1430287559689307,8.984018394773253,2.5786285,2.5280246,0,1.703926500769
3.205837228039414,9.061768969143554,2.6453899,2.5206799,0,1.6708929159646102
3.2633018034180954,9.143463714241312,2.7120418,2.5109969,0,1.69816234460069
3.3151496623370065,9.228909531453885,2.7806979,2.5057013,0,1.74598293921533
3.360869531236125,9.317613691731168,2.8508745,2.5030371,0,1.7742673355791798
3.400240511350394,9.409411455929058,2.9220873,2.5016203,0,1.78777844447846
3.4329816820228682,9.503850019802329,2.9937242,2.5013079,0,1.79905870341288
3.4588330946604255,9.600268710944311,3.0654462,2.5009955,0,1.7872739091875
3.477778881110946,9.698524393399532,3.1366889,2.5018829,0,1.7738957718544701
3.489710292226893,9.797583007057115,-3.0767495,2.5040425,0,1.727249453437
3.494799543818434,9.897437739815448,-3.0085802,2.5106999,0,1.6827609560364203
3.4931992139779395,9.99732683700554,-2.9430181,2.5213121,0,1.62134663869607
3.48518461922458,10.09694866886382,-2.8801537,2.5372776,0,1.55118977980824
3.4711016624366837,10.195877766755999,-2.820788,2.559086,0,1.4779279530748
3.4513369258968583,10.293870828526774,-2.7650532,2.5866472,0,1.3872703676392797
3.42636964680668,10.390578919705762,-2.7134849,2.6213076,0,1.29970669520088
3.3966290084738278,10.486010498922257,-2.6662799,2.6623259,0,1.1938907642701
3.3626587242182517,10.579970221159158,-2.6238844,2.7111429,0,1.08263472974262
3.3249674272988456,10.672501059756424,-2.5865043,2.7678834,0,0.96634531888686
3.2840348355691424,10.763678170492284,-2.5529696,2.8326722,0,0.9399120786214201
