# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
17.6852524,-1.5587542,-11.3720382,-2.4766699,0.3251707,3.0376372,1.4880377
17.7851691,-1.4958989,-11.4495679,-2.4438887,0.3330102,3.0861949,1.3163056
17.8850858,-1.4303953,-11.5250848,-2.410118,0.3424098,3.1285206,1.1363818
17.9850025,-1.3624583,-11.5981972,-2.3754502,0.3525474,3.1646055,0.9568153
18.0849191,-1.2918048,-11.6690546,-2.3396455,0.3630053,3.1946724,0.7824358
18.1848358,-1.2188407,-11.7371093,-2.3030004,0.3716955,3.2190508,0.6354317
18.2847525,-1.1432219,-11.8025618,-2.2653529,0.3805271,3.2387141,0.4954374
18.3846692,-1.0652783,-11.8650075,-2.2270305,0.387156,3.2539628,0.3874513
18.4845859,-0.9848987,-11.924449,-2.1879646,0.3931273,3.2658382,0.29369
18.5845026,-0.9022887,-11.9806587,-2.1484886,0.3973585,3.2748112,0.2251679
18.6844192,-0.8174721,-12.0335693,-2.1085753,0.399693,3.281674,0.182091
18.7843359,-0.7306718,-12.0830145,-2.0685902,0.4011882,3.2872135,0.1513449
18.8842526,-0.6418538,-12.1289984,-2.0285157,0.3989939,3.2918105,0.1629511
18.9841693,-0.5514754,-12.1713096,-1.9888047,0.397253,3.2967528,0.1688385
19.084086,-0.4591892,-12.2101347,-1.9493601,0.3905063,3.3018659,0.2289481
19.1840026,-0.3658013,-12.2451988,-1.9106857,0.3841418,3.3087868,0.2807035
19.2839193,-0.2708387,-12.2767623,-1.8729124,0.3706193,3.3172525,0.4078894
19.383836,-0.1750063,-12.304719,-1.8366134,0.3564605,3.3295156,0.5345381
19.4837527,-0.0781526,-12.3292699,-1.8017383,0.3414541,3.3455183,0.6642866
19.5836694,0.019512,-12.3505076,-1.7683193,0.3280644,3.3652993,0.7704351
19.683586,0.1176565,-12.3685045,-1.7361886,0.3159116,3.3880965,0.8592396
19.7835027,0.2165889,-12.3834333,-1.7051156,0.3053697,3.4133419,0.927604
19.8834194,0.3156508,-12.3953039,-1.6751736,0.2950551,3.4403879,0.9928533
19.9833361,0.4152656,-12.4042698,-1.6460923,0.2863929,3.4691028,1.0383109
20.0832528,0.5149601,-12.4103725,-1.6179117,0.278311,3.4988803,1.077569
20.1831694,0.6147747,-12.4137013,-1.5904776,0.2710135,3.529518,1.1082785
20.2830861,0.7147492,-12.4143258,-1.563709,0.2647663,3.5607539,1.1271877
20.3830028,0.8145137,-12.4123105,-1.5375884,0.2588056,3.5922442,1.1441859
20.4829195,0.9144243,-12.4077041,-1.5119366,0.2540838,3.6239295,1.1467363
20.5828362,1.0140454,-12.4005722,-1.4867943,0.2496787,3.6554098,1.1470857
20.6827528,1.113473,-12.3909564,-1.462039,0.2459121,3.6866308,1.1407592
20.7826695,1.2126922,-12.378893,-1.4376227,0.2428623,3.7174196,1.1265618
20.8825862,1.3114741,-12.3644432,-1.4135196,0.2400464,3.747577,1.1111529
20.9825029,1.4100173,-12.3476043,-1.3896182,0.2380766,3.777086,1.0856756
21.0824196,1.5080565,-12.3284406,-1.365931,0.2363701,3.8056974,1.0584687
21.1823362,1.6056108,-12.3069685,-1.3423834,0.2350694,3.8333863,1.0273214
21.2822529,1.7026826,-12.2831986,-1.318934,0.2343061,3.8600704,0.9901804
21.3821696,1.7991107,-12.2571796,-1.2955648,0.2337239,3.8856163,0.9523604
