Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
0.00182246,-0.01153355,-0.06006062,-0.01096578,-0.15812990,5.80000019,-0.59479070,0.39254707,39.96300427,116.30366354,64.83595564,-0.01456692,-0.01940827,-0.04340893
0.00192681,-0.01503343,-0.04780143,-0.52180487,-0.16274129,4.40000010,-0.61051613,0.38345611,39.96300427,116.30366355,64.83615375,-0.01489631,-0.01943940,-0.04505477
0.00511748,-0.01387350,-0.06339550,-0.07175484,0.12707479,6.90000010,-0.61051613,0.34709248,39.96300426,116.30366355,64.83648864,-0.01526964,-0.01983639,-0.04757769
0.00095841,-0.01463874,-0.01761615,-0.01197056,0.53751409,6.69999981,-0.61051613,0.31981975,39.96300425,116.30366356,64.83686918,-0.01472203,-0.01976062,-0.04987771
-0.00588029,-0.01073451,-0.03777147,0.25177065,-0.46541527,4.19999981,-0.61051613,0.31981975,39.96300426,116.30366356,64.83708344,-0.01560726,-0.02005490,-0.05180405
-0.00426176,-0.01042619,-0.02568066,-0.12103402,0.11508806,4.80000019,-0.61051613,0.30163795,39.96300427,116.30366355,64.83740309,-0.01565283,-0.02025033,-0.05430753
-0.01082703,-0.00867230,-0.01648515,-0.46962887,0.21325599,3.50000000,-0.61051613,0.31981975,39.96300428,116.30366354,64.83748058,-0.01563150,-0.02015253,-0.05531480
-0.02392681,-0.00787527,-0.02724230,0.05609029,-0.15143003,2.50000000,-0.61051613,0.49254704,39.96300429,116.30366352,64.83786145,-0.01594527,-0.02026279,-0.05730489
-0.01709610,-0.00658546,-0.00994802,0.30367616,-0.14820471,3.70000005,-0.61051613,0.75618339,39.96300430,116.30366349,64.83821867,-0.01593256,-0.02088542,-0.05885379
-0.00055600,-0.00808913,-0.05009919,0.24900258,-0.03787241,8.10000038,-0.61051613,0.81981981,39.96300431,116.30366348,64.83862044,-0.01655100,-0.02128040,-0.06063700
0.00632013,-0.01117535,-0.03987402,-0.20641112,0.27631038,8.80000019,-0.61051613,0.85618341,39.96300432,116.30366349,64.83875811,-0.01650257,-0.02136588,-0.06200345
0.01233855,-0.00965514,-0.08051692,-0.12527941,-0.02279013,13.00000000,-0.61051613,0.99254698,39.96300432,116.30366349,64.83896180,-0.01679870,-0.02150556,-0.06512391
0.03493623,-0.01353153,-0.10112674,0.65182775,0.06077748,13.00000000,-0.61051613,1.11072886,39.96300433,116.30366351,64.83919186,-0.01729298,-0.02219198,-0.07002492
0.05982388,-0.02056162,-0.11409373,0.70325035,-0.76662123,20.70000076,-0.61051613,1.15618336,39.96300433,116.30366354,64.83957911,-0.01815371,-0.02278010,-0.07666395
0.07519914,-0.02574292,-0.13777614,0.05093477,-0.13452712,25.29999924,-0.61051613,1.15618336,39.96300432,116.30366356,64.84002183,-0.01845516,-0.02306257,-0.08526593
0.07672373,-0.02456325,-0.16665013,-0.80784911,0.97107971,20.50000000,-0.61051613,1.18345606,39.96300431,116.30366357,64.84012478,-0.01865527,-0.02325650,-0.09151121
0.09503103,-0.03189393,-0.15861243,0.23457035,-0.47861817,25.39999962,-0.61051613,1.21981978,39.96300430,116.30366360,64.84031519,-0.01951424,-0.02412278,-0.10515831
0.10750515,-0.03475788,-0.19580130,0.03624389,-0.20391735,34.09999847,-0.61051613,1.22891068,39.96300429,116.30366363,64.84045414,-0.02060229,-0.02512325,-0.12053400
0.11526422,-0.03886312,-0.21487620,-0.63615406,1.31260788,38.09999847,-0.61051613,1.25618339,39.96300428,116.30366366,64.84050036,-0.02090079,-0.02532455,-0.12859213
0.13147590,-0.04028750,-0.19761476,0.04586311,0.13441415,34.50000000,-0.61051613,1.28345609,39.96300425,116.30366373,64.84081235,-0.02154079,-0.02578065,-0.14417585
0.14463563,-0.05283011,-0.22534430,0.21511926,-0.55182713,44.59999847,-0.61051613,1.29254699,39.96300424,116.30366375,64.84143608,-0.02263534,-0.02711548,-0.16016920
0.14748631,-0.06094314,-0.23903251,-0.61288142,-0.94223535,44.59999847,-0.61051613,1.31072879,39.96300422,116.30366375,64.84199144,-0.02142086,-0.02686779,-0.17726108
0.16324610,-0.05206314,-0.30466023,-0.02942656,-0.38974234,44.20000076,-0.61051613,1.35618329,39.96300420,116.30366375,64.84245624,-0.02142308,-0.02828249,-0.19989537
0.15712844,-0.05607357,-0.33144060,-1.06419384,-0.73154873,50.00000000,-0.61051613,1.42891061,39.96300419,116.30366376,64.84287723,-0.02134483,-0.02701992,-0.21221612
0.17060545,-0.04770807,-0.29946417,-0.71279079,0.71758783,52.09999847,-0.61051613,1.48345613,39.96300417,116.30366377,64.84324853,-0.02068884,-0.02888795,-0.23296630
0.17945193,-0.05508430,-0.29803964,0.77522409,-0.57228321,49.20000076,-0.61051613,1.55618334,39.96300418,116.30366369,64.84331359,-0.02066781,-0.02894344,-0.25306730
0.19289359,-0.06354961,-0.36247677,-0.28211227,-1.15424097,55.29999924,-0.61051613,1.58345604,39.96300418,116.30366363,64.84334256,-0.02121383,-0.02973005,-0.27513186
0.20201091,-0.07294027,-0.37151125,-0.38106698,0.84229720,66.09999847,-0.61051613,1.60163784,39.96300417,116.30366361,64.84342988,-0.02082424,-0.02970133,-0.28647312
0.19940680,-0.07494892,-0.35918504,0.53489327,1.22946298,68.50000000,-0.61051613,1.61072874,39.96300415,116.30366356,64.84355328,-0.02061057,-0.02949985,-0.31103543
0.22154603,-0.08953005,-0.39725900,0.18925653,-0.92164290,79.90000153,-0.61051613,1.63800168,39.96300415,116.30366351,64.84319765,-0.02376348,-0.03140172,-0.33180316
0.22800893,-0.10970870,-0.43704212,0.35765937,-0.46359029,77.69999695,-0.61051613,1.67436528,39.96300416,116.30366343,64.84302953,-0.02431345,-0.03177185,-0.35192706
0.25210349,-0.10998185,-0.52789015,0.86693382,-1.91301036,88.09999847,-0.61051613,1.68345618,39.96300416,116.30366334,64.84340851,-0.02441183,-0.03172954,-0.37801096
0.24906019,-0.11481192,-0.48667097,1.13346481,3.00500393,91.69999695,-0.61051613,1.69254708,39.96300416,116.30366331,64.84356032,-0.02250114,-0.03049545,-0.39026330
