x_m,y_m,phi_rad,Ux_mps,Uy_mps,r_radps
1.5348967,11.3948278,2.2790067,2.8216332,0,1.3948712686234799
1.4687684,11.4697015,2.3276674,2.8411941,0,1.36235938981584
1.3990548,11.5414056,2.3746737,2.8628893,0,1.3201984975806
1.3260916,11.6098342,2.4199231,2.8875719,0,1.2770722751106902
1.2503996,11.6747802,2.4630873,2.9151927,0,1.23397978900329
1.1716918,11.7367439,2.5042446,2.9456142,0,1.1747583673486202
1.0907072,11.7954181,2.5429912000000003,2.9803112,0,1.11985014521328
1.0078957,11.8508046,2.5791983,3.0186711,0,1.06319135664261
0.922777,11.9034752,2.6139809,3.0607246,0,1.04684096451794
0.8360338,11.9531317,2.6476055,3.1023697,0,1.02847371469731
0.7478512,11.9998083,2.6801453000000004,3.1438784,0,1.00585685672576
0.6581238,12.0436982,2.7113228,3.1857273,0,0.96771181613904
0.5670116,12.0848839,2.7409459,3.2294821,0,0.9333258170195698
0.4748595,12.1233759,2.7690803,3.2747384,0,0.90287681436864
0.3816999,12.1593098,2.7960389,3.3210966,0,0.87806705484162
0.2875389,12.1927948,2.8220877,3.3680082,0,0.8642234945019599
0.1925943,12.2238387,2.8473934,3.4144229,0,0.8563758462987701
0.096895,12.252497,2.8721967,3.459819,0,0.8527758411381
0.0004453,12.2788087,2.8967032,3.5038626,0,0.85344212043468
-0.0964916,12.3027304,2.9209949,3.5462246,0,0.86124958200948
-0.1940141,12.3243014,2.9452274000000003,3.5862976,0,0.87077170602752
-0.2921223,12.3435184,2.9695196,3.6240251,0,0.88194238593349
-0.3906506,12.3603392,2.9939142,3.6593525,0,0.895292791427
-0.4894311,12.3747276,3.0184224000000004,3.6921684,0,0.9099496708536
-0.588652,12.3866945,3.0431442,3.7224464,0,0.92456523031248
-0.6882783,12.3962065,3.068108,3.7502894,0,0.939316234571
-0.78781,12.4032007,3.09321,3.7757754,0,0.95406821415756
-0.8876145,12.4076876,3.1185638,3.79899,0,0.968168042712
-0.9876485,12.4096332,3.1441737,3.8200777,0,0.98193263641204
-1.0874996,12.4090096,3.1699427,3.8391448,0,0.9948018879773599
-1.1873351,12.4058015,3.1959282,3.8563479,0,1.00684693178478
-1.2871994,12.3999803,3.2221482999999997,3.8718301,0,1.01858209074051
-1.3867281,12.3915482,3.2485119,3.8856777,0,1.02914932715667
-1.4860033,12.3804857,3.2750564,3.8980586,0,1.03882638000624
-1.5850807,12.3667642,3.3018004000000003,3.9091075,0,1.04838393133575
-1.6836202,12.3504147,3.3286565,3.9188773,0,1.05658104926036
-1.7817037,12.3314135,3.3556654000000004,3.9275426,0,1.0640286324619601
-1.8793417,12.3097397,3.3828318,3.9352114,0,1.0715560966143
-1.976221,12.2854508,3.4100755,3.9419058,0,1.0774115480205
-2.07245,12.2585121,3.4374462,3.9478213,0,1.0828723808690601
-2.1679735,12.2289233,3.4649277,3.9530205,0,1.08856974032235
-2.2625284,12.1967586,3.4924564,3.9575008,0,1.0921447680246401
-2.3562243,12.1619753,3.5200809,3.9614949,0,1.09585486510434
-2.4489381,12.1246084,3.5477626,3.9650038,0,1.09954789179016
-2.5405338,12.0847083,3.5754799999999998,3.968043,0,1.1013200177382
-2.6310216,12.0422671,3.6032469000000003,3.9708182,0,1.1034943485982
-2.7202836,11.9973355,3.6310259,3.9732967,0,1.10514188272041
-2.8082685,11.9499376,3.658825,3.9755397,0,1.1055061531569002
-2.8948959,11.9001162,3.6866232,3.9776823,0,1.10634817947147
-2.9801063,11.8479062,3.7144046,3.9796796,0,1.10614358749284
-3.0638501,11.7933388,3.7421776,3.9816404,0,1.10533801531148
-3.1460055,11.7364984,3.7699023,3.9836258,0,1.1050470411303401
-3.2266029,11.6773677,3.7975980000000003,3.9855837,0,1.10327413461594
-3.3055247,11.6160363,3.8252463,3.987663,0,1.1015308925061
-3.3826523,11.5526089,3.8528045,3.9898574,0,1.1002969396989
-3.4581192,11.4869805,3.8803359,3.9921128,0,1.0973248200969599
-3.5316998,11.4193528,3.9077755,3.9946011,0,1.0948682316957001
-3.6033335,11.3498019,3.9351008000000003,3.9972643,0,1.09267857834938
-3.673177,11.2781813,3.9623917,4.0000708,0,1.08915167764348
-3.7409663,11.2047709,3.9895588,4.0031504,0,1.08621242764576
-3.8066864,11.1296131,4.0165993,4.0064366,0,1.0833905370974999
-3.8704872,11.0525436,4.043596900000001,4.0099121,0,1.07972256574714
-3.9321056,10.9738922,4.0704539,4.0136562,0,1.0766211322599
-3.9915367,10.8936971,4.0971767,4.0176049,0,1.073704909525
-4.0489496,10.8117375,4.1238651,4.0217343,0,1.0704143447788201
-4.1040807,10.7283999,4.1504148999999995,4.0260768,0,1.0678182323184
-4.1569049,10.643761,4.1768354,4.0305575,0,1.06568625494775
-4.2076342,10.5574917,4.2031499,4.0351264,0,1.05491681418176
-4.2560318,10.4700371,4.2290028,4.0406434,0,1.02612785645944
-4.3021311,10.3815095,4.2538059,4.0488798,0,0.9825999649351199
-4.3461413,10.2917562,4.2773453,4.0612282,0,0.9257403171543801
-4.3880742,10.2010507,4.2996894,4.0788998,0,0.9039718920257
-4.4279642,10.1094981,4.3216316,4.0982572,0,0.8959650873212001
-4.4658572,10.0170633,4.3434458,4.1178906,0,0.8977042686905999
-4.5017395,9.9237893,4.3652581,4.1036101,0,0.8966264960197
-4.5355666,9.829783,4.3871217,4.0830836,0,0.8965508393288399
-4.5673287,9.7350411,4.4091421,4.061988,0,0.8988342674472001
-4.5969867,9.6396217,4.4313848,4.0406309,0,0.904454820656
-4.6244966,9.5435842,4.4538953,4.0194802,0,0.91236131124898
-4.6498291,9.4469194,4.4767431,3.9986666,0,0.92155229810234
-4.6729377,9.3496569,4.4999775,3.9783394,0,0.93216550048188
-4.6937419,9.2519737,4.5235974,3.9587153,0,0.9448178714773401
-4.7122192,9.1537811,4.5476655,3.9398809,0,0.9581664272611199
-4.7283133,9.055115,4.5722135999999995,3.9219417,0,0.9723670056810001
-4.7419496,8.9561376,4.5972345,3.9050316,0,0.9876566872404
-4.7530791,8.8568616,4.6227556,3.8892491,0,1.00364251004996
-4.7616498,8.7572761,4.6488133000000005,3.8747011,0,1.0203699871957599
-4.7675965,8.657495,4.6754083,3.8615123,0,1.03796910012278
-4.770859,8.5576639,4.702533300000001,3.8497848,0,1.05617344571928
-4.7713841,8.4577268,-1.5529478,3.8396553,0,1.07528087607486
-4.7691106,8.3577729,-1.5246556,3.8312921,0,1.0955464821187
-4.7639872,8.2580197,-1.4958006,3.824807,0,1.1163609533566001
-4.7559538,8.1584141,-1.4663258999999997,3.8203875,0,1.1384151128775
-4.744954,8.0590618,-1.4362236999999998,3.8181725,0,1.1611753661722501
-4.7309487,7.9601343,-1.4056102,3.8176957,0,1.1787215645359699
-4.7138998,7.8616739,-1.3746733999999998,3.8172188,0,1.17878045047468
-4.6938171,7.7637684,-1.3439145,3.8167507,0,1.16943027732594
-4.6707516,7.6665395,-1.3134855,3.8172316,0,1.15548249461372
-4.6447556,7.5700517,-1.2834127999999998,3.8190909,0,1.14246423873504
-4.6158848,7.4743779,-1.2536809,3.8221928,0,1.13073420257592
-4.5842006,7.3796059,-1.2242804999999999,3.8263699,0,1.11983536349574
-4.5497559,7.2857935,-1.1951871,3.831506,0,1.1094914913236
-4.5126126,7.1930218,-1.1663909000000001,3.8375163,0,1.10022858701379
-4.4728322,7.1013642,-1.1378814999999998,3.8442665,0,1.0918009024254
-4.4304545,7.0108462,-1.1096282999999998,3.8516511,0,1.08377334970179
-4.385555,6.9215694,-1.0816282,3.8596116,0,1.07673437418768
-4.3381976,6.8336033,-1.0538697,3.8680328,0,1.07055118321992
